State,Year,MigrationCount
Afghanistan,1960,9521
Albania,1960,1
Algeria,1960,6
American Samoa,1960,0
Andorra,1960,2
Angola,1960,233
Anguilla,1960,0
Antigua and Barbuda,1960,5
Argentina,1960,62
Armenia,1960,0
Aruba,1960,13
Australia,1960,4650
Austria,1960,69
Azerbaijan,1960,0
"Bahamas, The",1960,1
Bahrain,1960,1519
Bangladesh,1960,295599
Barbados,1960,12
Belarus,1960,0
Belgium,1960,24
Belize,1960,28
Benin,1960,10
Bermuda,1960,0
Bhutan,1960,1743
Bolivia,1960,0
Bosnia and Herzegovina,1960,6
Botswana,1960,4
Brazil,1960,107
Brunei Darussalam,1960,229
Bulgaria,1960,18
Burkina Faso,1960,0
Burundi,1960,71
Cambodia,1960,125
Cameroon,1960,122
Canada,1960,3779
Cape Verde,1960,5
Cayman Islands,1960,0
Central African Republic,1960,5
Chad,1960,415
Chile,1960,14
China,1960,16
Colombia,1960,9
Comoros,1960,0
"Congo, Dem. Rep.",1960,91
"Congo, Rep.",1960,61
Cook Islands,1960,0
Costa Rica,1960,5
Cote d'Ivoire,1960,59
Croatia,1960,0
Cuba,1960,355
Cyprus,1960,4
Czech Republic,1960,3
Denmark,1960,373
Djibouti,1960,10
Dominica,1960,3
Dominican Republic,1960,97
Ecuador,1960,1
"Egypt, Arab Rep.",1960,153
El Salvador,1960,1
Equatorial Guinea,1960,1
Eritrea,1960,29
Estonia,1960,0
Ethiopia,1960,465
Faeroe Islands,1960,0
Falkland Islands (Malvinas),1960,0
Fiji,1960,3847
Finland,1960,12
France,1960,38575
French Guiana,1960,4
French Polynesia,1960,1
Gabon,1960,136
"Gambia, The",1960,20
Georgia,1960,0
Germany,1960,516
Ghana,1960,195
Gibraltar,1960,13
Greece,1960,16
Greenland,1960,0
Grenada,1960,4
Guadeloupe,1960,12
Guam,1960,21
Guatemala,1960,0
Guinea,1960,16
Guinea-Bissau,1960,2
Guyana,1960,2
Haiti,1960,9
Honduras,1960,23
"Hong Kong SAR, China",1960,28
Hungary,1960,122
Iceland,1960,2
India,1960,0
Indonesia,1960,35979
"Iran, Islamic Rep.",1960,52
Iraq,1960,487
Ireland,1960,640
Israel,1960,7911
Italy,1960,323
Jamaica,1960,362
Japan,1960,20
Jordan,1960,22
Kazakhstan,1960,0
Kenya,1960,688
Kiribati,1960,1
"Korea, Dem. Rep.",1960,0
"Korea, Rep.",1960,0
Kuwait,1960,1314
Kyrgyz Republic,1960,0
Lao PDR,1960,11
Latvia,1960,0
Lebanon,1960,44
Lesotho,1960,32
Liberia,1960,38
Libya,1960,5
Liechtenstein,1960,0
Lithuania,1960,0
Luxembourg,1960,19
"Macao SAR, China",1960,73
"Macedonia, FYR",1960,11
Madagascar,1960,8971
Malawi,1960,1904
Malaysia,1960,3963
Maldives,1960,371
Mali,1960,26
Malta,1960,1
Marshall Islands,1960,2
Martinique,1960,6
Mauritania,1960,0
Mauritius,1960,392
Mayotte,1960,2
Mexico,1960,136
"Micronesia, Fed. Sts.",1960,0
Moldova,1960,0
Monaco,1960,16
Mongolia,1960,5
Montserrat,1960,0
Morocco,1960,7
Mozambique,1960,1134
Myanmar,1960,46777
Namibia,1960,34
Naura,1960,0
Nepal,1960,208455
Netherlands,1960,11
Netherlands Antilles,1960,40
New Caledonia,1960,12
New Zealand,1960,2131
